Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
Assessing the impacts of vegetation heterogeneity on energy fluxes and snowmelt in boreal forests,"Ni-Meister, Wenge; Gao, Huilin",JOURNAL OF PLANT ECOLOGY,2011,4,1-2,37,47,10.1093/jpe/rtr004,13
"Vegetation and Land use Impact on Water Loss Rate in Playas of the Southern High Plains, USA","Tsai, Jo-Szu; Venne, Louise S.; McMurry, Scott T.; Smith, Loren M.",WETLANDS,2010,30,6,1107,1116,10.1007/s13157-010-0117-8,13
"Quantifying seasonal variation in total phosphorus and nitrogen from prairie streams in the Red River Basin, Manitoba Canada","Rattan, K. J.; Corriveau, J. C.; Brua, R. B.; Culp, J. M.; Yates, A. G.; Chambers, P. A.",SCIENCE OF THE TOTAL ENVIRONMENT,2017,575,,649,659,10.1016/j.scitotenv.2016.09.073,12
The 2014 water release into the arid Colorado River delta and associated water losses by evaporation,"Daessle, L. W.; van Geldern, R.; Orozco-Duran, A.; Barth, J. A. C.",SCIENCE OF THE TOTAL ENVIRONMENT,2016,542,,586,590,10.1016/j.scitotenv.2015.09.157,12
Enhanced Denitrification in Bioretention Using Woodchips as an Organic Carbon Source,"Peterson, Ian James; Igielski, Sara; Davis, Allen P.",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2015,1,4,,,10.1061/JSWBAY.0000800,12
Characterizing redox conditions and monitoring attenuation of selected pharmaceuticals during artificial recharge through a reactive layer,"Valhondo, Cristina; Carrera, Jesus; Ayora, Carlos; Tubau, Isabel; Martinez-Landa, Lurdes; Noedler, Karsten; Licha, Tobias",SCIENCE OF THE TOTAL ENVIRONMENT,2015,512,,240,250,10.1016/j.scitotenv.2015.01.030,12
Fundamental spatial and temporal disconnections in the hydrology of an intermittent prairie headwater network,"Costigan, Katie H.; Daniels, Melinda D.; Dodds, Walter K.",JOURNAL OF HYDROLOGY,2015,522,,305,316,10.1016/j.jhydrol.2014.12.031,12
Time series analysis of the long-term hydrologic impacts of afforestation in the Agueda watershed of north-central Portugal,"Hawtree, D.; Nunes, J. P.; Keizer, J. J.; Jacinto, R.; Santos, J.; Rial-Rivas, M. E.; Boulet, A. -K.; Tavares-Wahren, F.; Feger, K. -H.",HYDROLOGY AND EARTH SYSTEM SCIENCES,2015,19,7,3033,3045,10.5194/hess-19-3033-2015,12
Copper Stable Isotopes To Trace Copper Behavior in Wetland Systems,"Babcsanyi, Izabella; Imfeld, Gwenael; Granet, Mathieu; Chabaux, Francois",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2014,48,10,5520,5529,10.1021/es405688v,12
Comprehensive assessment for removing multiple pollutants by plants in bioretention systems,"Yang, Xiaohua; Mei, Ying; He, Jun; Jiang, Rong; Li, Yuqi; Li, Jianqiang",CHINESE SCIENCE BULLETIN,2014,59,13,1446,1453,10.1007/s11434-014-0200-2,12
The role of flood size and duration on streamflow and riparian groundwater composition in a semi-arid basin,"Simpson, Scott C.; Meixner, Thomas; Hogan, James F.",JOURNAL OF HYDROLOGY,2013,488,,126,135,10.1016/j.jhydrol.2013.02.049,12
"Bioretention: assessing effects of winter salt and aggregate application on plant health, media clogging and effluent quality","Denich, Chris; Bradford, Andrea; Drake, Jennifer",WATER QUALITY RESEARCH JOURNAL OF CANADA,2013,48,4,387,399,10.2166/wqrjc.2013.065,12
Ecosystem Characteristics and Summer Secondary Production in Stormwater Ponds and Reference Wetlands,"Woodcock, Thomas S.; Monaghan, Megan C.; Alexander, Karen E.",WETLANDS,2010,30,3,461,474,10.1007/s13157-010-0057-3,12
Restoring native vegetation to an urban wet meadow dominated by reed canarygrass (Phalaris arundinacea L.) in Wisconsin,"Wilcox, Julia C.; Healy, Michael T.; Zedler, Joy B.",NATURAL AREAS JOURNAL,2007,27,4,354,365,10.3375/0885-8608(2007)27[354:RNVTAU]2.0.CO;2,12
"Occurrence and relative abundance of mosquitoes in stormwater retention facilities in North Carolina, USA","Hunt, W. F., III; Apperson, C. S.; Kennedy, S. G.; Harrison, B. A.; Lord, W. G.",WATER SCIENCE AND TECHNOLOGY,2006,54,6-7,315,321,10.2166/wst.2006.625,12
MULTIOBJECTIVE APPROACHES IN FRESH-WATER WETLAND RESTORATION AND DESIGN,"TSIHRINTZIS, VA; VASARHELYI, GM; LIPA, J",WATER INTERNATIONAL,1995,20,2,98,105,10.1080/02508069508686457,12
Nickel bioaccumulation by the chosen plant species,"Antonkiewicz, Jacek; Jasiewicz, Czeslawa; Koncewicz-Baran, Malgorzata; Sendor, Renata",ACTA PHYSIOLOGIAE PLANTARUM,2016,38,2,,,10.1007/s11738-016-2062-5,11
Novel water sources restore plant and animal communities along an urban river,"Bateman, H. L.; Stromberg, J. C.; Banville, M. J.; Makings, E.; Scott, B. D.; Suchy, A.; Wolkis, D.",ECOHYDROLOGY,2015,8,5,792,811,10.1002/eco.1560,11
Optimization of bioretention systems through application of ecological theory,"Levin, Lisa A.; Mehring, Andrew S.",WILEY INTERDISCIPLINARY REVIEWS-WATER,2015,2,3,259,270,10.1002/wat2.1072,11
Assessing the spatial and temporal variation of the rainwater harvesting potential (1971-2010) on the Chinese Loess Plateau using the VIC model,"Zhang, Baoqing; Wu, Pute; Zhao, Xining; Gao, Xiaodong; Shi, Yinguang",HYDROLOGICAL PROCESSES,2014,28,3,534,544,10.1002/hyp.9608,11
Denitrification and Potential Nitrous Oxide and Carbon Dioxide Production in Brownfield Wetland Soils,"Palta, Monica M.; Ehrenfeld, Joan G.; Groffman, Peter M.",JOURNAL OF ENVIRONMENTAL QUALITY,2013,42,5,1507,1517,10.2134/jeq2012.0392,11
Improved urban stormwater treatment and pollutant removal pathways in amended wet detention ponds,"Istenic, Darja; Arias, Carlos A.; Vollertsen, Jes; Nielsen, Asbjorn H.; Wium-Andersen, Tove; Hvitved-Jacobsen, Thorkild; Brix, Hans",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,2012,47,10,1466,1477,10.1080/10934529.2012.673306,11
Response of two wetland plant species to Cd exposure at low and neutral pH,"Nyquist, Johanna; Greger, Maria",ENVIRONMENTAL AND EXPERIMENTAL BOTANY,2009,65,2-3,417,424,10.1016/j.envexpbot.2008.11.011,11
"Impact of olive oil wastewater on the physicochemical and biological quality of groundwater in the Haouz plain, South of Marrakesh (Morocco)","Boukhoubza, F.; Boughrous, A. Ait; Yacoubi-Khebiza, M.; Jail, A.; Hassani, L.; Idrissi, L. Loukili; Nejmeddine, A.",ENVIRONMENTAL TECHNOLOGY,2008,29,9,959,974,10.1080/09593330802131669,11
Estimating the effect of cropland to prairie conversion on peak storm run-off,"Gerla, Philip J.",RESTORATION ECOLOGY,2007,15,4,720,730,10.1111/j.1526-100X.2007.00284.x,11
Macrophyte zonation in stormwater wetlands: getting it right! A case study from subtropical Australia,"Greenway, M.; Jenkins, G.; Polson, C.",WATER SCIENCE AND TECHNOLOGY,2007,56,3,223,231,10.2166/wst.2007.494,11
"Sustainable stormwater management at Fornebu - from an airport to an industrial and residential area of the city of Oslo, Norway","Astebol, SO; Hvitved-Jacobson, T; Simonsen, O",SCIENCE OF THE TOTAL ENVIRONMENT,2004,334,,239,249,10.1016/j.scitotenv.2004.04.042,11
Effects of large-scale sediment removal on herpetofauna in Florida wetlands,"Aresco, MJ; Gunzburger, MS",JOURNAL OF HERPETOLOGY,2004,38,2,275,279,10.1670/116-03N,11
Hydrologic design considerations of constructed wetlands for urban stormwater runoff,"Koob, T; Barber, ME; Hathhorn, WE",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1999,35,2,323,331,10.1111/j.1752-1688.1999.tb03593.x,11
Acute pollution of recipients in urban areas,"Rauch, W; Harremoes, P",WATER SCIENCE AND TECHNOLOGY,1997,36,8-9,179,184,10.1016/S0273-1223(97)00601-X,11
"Integrating drainage, water quality, wetlands, and habitat in a planned community development","Galuzzi, MR; Pflaum, JM",JOURNAL OF URBAN PLANNING AND DEVELOPMENT-ASCE,1996,122,3,101,108,10.1061/(ASCE)0733-9488(1996)122:3(101),11
"Streamflow and Sediment Yield Prediction for Watershed Prioritization in the Upper Blue Nile River Basin, Ethiopia","Ayele, Gebiaw T.; Teshale, Engidasew Z.; Yu, Bofu; Rutherfurd, Ian D.; Jeong, Jaehak",WATER,2017,9,10,,,10.3390/w9100782,10
Short-Term Impacts of Tree Removal on Runoff and Erosion From Pinyon- and Juniper-Dominated Sagebrush Hillslopes,"Pierson, Frederick B.; Williams, C. Jason; Kormos, Patrick R.; Al-Hamdan, Osama Z.; Hardegree, Stuart P.; Clark, Patrick E.",RANGELAND ECOLOGY & MANAGEMENT,2015,68,5,408,422,10.1016/j.rama.2015.07.004,10
Meeting the criteria: linking biofilter design to fecal indicator bacteria removal,"Rippy, Megan A.",WILEY INTERDISCIPLINARY REVIEWS-WATER,2015,2,5,577,592,10.1002/wat2.1096,10
Performance and Longevity of Denitrifying Wood-Chip Biofilters for Stormwater Treatment: A Microcosm Study,"Lynn, Thomas J.; Yeh, Daniel H.; Ergas, Sarina J.",ENVIRONMENTAL ENGINEERING SCIENCE,2015,32,4,321,330,10.1089/ees.2014.0358,10
"Hydrogeochemical contrasts between low and high arsenic groundwater and its implications for arsenic mobilization in shallow aquifers of the northern Yinchuan Basin, P.R. China","Guo, Qi; Guo, Huaming; Yang, Yuance; Han, Shuangbao; Zhang, Fucun",JOURNAL OF HYDROLOGY,2014,518,,464,476,10.1016/j.jhydrol.2014.06.026,10
Nutrient Dynamics in Flooded Wetlands. I: Model Development,"Hantush, M. M.; Kalin, L.; Isik, S.; Yucekaya, A.",JOURNAL OF HYDROLOGIC ENGINEERING,2013,18,12,1709,1723,10.1061/(ASCE)HE.1943-5584.0000741,10
"Complex baseflow in urban streams: an example from central Ohio, USA","Liu, G.; Schwartz, F. W.; Kim, Y.",ENVIRONMENTAL EARTH SCIENCES,2013,70,7,3005,3014,10.1007/s12665-013-2358-3,10
"Compartment-based hydrodynamics and water quality modeling of a Northern Everglades Wetland, Florida, USA","Wang, Hongqing; Meselhe, Ehab A.; Waldon, Michael G.; Harwell, Matthew C.; Chen, Chunfang",ECOLOGICAL MODELLING,2012,247,,273,285,10.1016/j.ecolmodel.2012.09.007,10
"Assessment of mineral concentration impacts from pumped stormwater on an Everglades Wetland, Florida, USA - Using a spatially-explicit model","Chen, Chunfang; Meselhe, Ehab; Waldon, Michael",JOURNAL OF HYDROLOGY,2012,452,,25,39,10.1016/j.jhydrol.2012.05.016,10
Integrated monitoring and assessment of soil restoration treatments in the Lake Tahoe Basin,"Grismer, M. E.; Schnurrenberger, C.; Arst, R.; Hogan, M. P.",ENVIRONMENTAL MONITORING AND ASSESSMENT,2009,150,1-4,365,383,10.1007/s10661-008-0236-3,10
Hydrologic impacts of mechanical seeding treatments on sagebrush rangelands,"Pierson, Frederick B.; Blackburn, Wilbert H.; Van Vactor, Steven S.",RANGELAND ECOLOGY & MANAGEMENT,2007,60,6,666,674,10.2111/07-013R1.1,10
Sealing pond bottoms with muddy water,"Bouwer, H; Ludke, J; Rice, RC",ECOLOGICAL ENGINEERING,2001,18,2,233,238,10.1016/S0925-8574(01)00071-4,10
Limitations to vegetation establishment and growth in biofiltration swales,"Mazer, G; Booth, D; Ewing, K",ECOLOGICAL ENGINEERING,2001,17,4,429,443,10.1016/S0925-8574(00)00173-7,10
"Vegetation type alters water and nitrogen budgets in a controlled, replicated experiment on residential-sized rain gardens planted with prairie, shrub, and turfgrass","Nocco, Mallika A.; Rouse, Sara E.; Balster, Nicholas J.",URBAN ECOSYSTEMS,2016,19,4,1665,1691,10.1007/s11252-016-0568-7,9
Urban pollution of sediments: Impact on the physiology and burrowing activity of tubificid worms and consequences on biogeochemical processes,"Pigneret, M.; Mermillod-Blondin, F.; Volatier, L.; Romestaing, C.; Maire, E.; Adrien, J.; Guillard, L.; Roussel, D.; Hervant, F.",SCIENCE OF THE TOTAL ENVIRONMENT,2016,568,,196,207,10.1016/j.scitotenv.2016.05.174,9
"Snow hydrology of a constructed watershed in the Athabasca oil sands region, Alberta, Canada","Ketcheson, Scott J.; Price, Jonathan S.",HYDROLOGICAL PROCESSES,2016,30,14,2546,2561,10.1002/hyp.10813,9
Confirmation of Stormwater Bioretention Treatment Effectiveness Using Molecular Indicators of Cardiovascular Toxicity in Developing Fish,"McIntyre, Jenifer K.; Edmunds, Richard C.; Redig, Maria G.; Mudrock, Emma M.; Davis, Jay W.; Incardona, John P.; Stark, John D.; Scholz, Nathaniel L.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2016,50,3,1561,1569,10.1021/acs.est.5b04786,9
"Complex interactions among nutrients, chlorophyll-a, and microcystins in three stormwater wet detention basins with floating treatment wetlands","Hartshorn, Nicholas; Marimon, Zachary; Xuan, Zhemin; Cormier, Jessica; Chang, Ni-Bin; Wanielista, Martin",CHEMOSPHERE,2016,144,,408,419,10.1016/j.chemosphere.2015.08.023,9
Soil and phosphorus accretion rates in sub-tropical wetlands: Everglades Stormwater Treatment Areas as a case example,"Bhomia, R. K.; Inglett, P. W.; Reddy, K. R.",SCIENCE OF THE TOTAL ENVIRONMENT,2015,533,,297,306,10.1016/j.scitotenv.2015.06.115,9
Assessment of PAH dissipation processes in large-scale outdoor mesocosms simulating vegetated road-side swales,"Leroy, M. C.; Legras, M.; Marcotte, S.; Moncond'huy, V.; Machour, N.; Le Derf, F.; Portet-Koltalo, F.",SCIENCE OF THE TOTAL ENVIRONMENT,2015,520,,146,153,10.1016/j.scitotenv.2015.03.020,9
Effects of stormwater management and stream restoration on watershed nitrogen retention,"Newcomer Johnson, Tamara A.; Kaushal, Sujay S.; Mayer, Paul M.; Grese, Melissa M.",BIOGEOCHEMISTRY,2014,121,1,81,106,10.1007/s10533-014-9999-5,9
Maintenance versus Maturation: Constructed Storm-Water Wetland's Fifth-Year Water Quality and Hydrologic Assessment,"Merriman, Laura S.; Hunt, William F., III",JOURNAL OF ENVIRONMENTAL ENGINEERING,2014,140,10,,,10.1061/(ASCE)EE.1943-7870.0000861,9
"Geomorphic-vegetation relationships using a geopedological classification system, northern Chihuahuan Desert, USA","Michaud, G. A.; Monger, H. C.; Anderson, D. L.",JOURNAL OF ARID ENVIRONMENTS,2013,90,,45,54,10.1016/j.jaridenv.2012.10.001,9
Defect-disorder and risk assessment of heritage trees in urban Hong Kong,"Jim, C. Y.; Zhang, Hao",URBAN FORESTRY & URBAN GREENING,2013,12,4,585,596,10.1016/j.ufug.2013.06.003,9
"Sediments infiltration traps: their use to monitor salmonid spawning habitat in headwater tributaries of the Cascapedia River, Quebec","Zimmermann, AE; Lapointe, M",HYDROLOGICAL PROCESSES,2005,19,20,4161,4177,10.1002/hyp.5879,9
SEEPAGE INTO A MOUNTAIN TUNNEL AND RAIN INFILTRATION,"SHIMOJIMA, E; TANAKA, T; YOSHIOKA, R; HOSO, Y",JOURNAL OF HYDROLOGY,1993,147,1-4,121,151,10.1016/0022-1694(93)90078-N,9
"Geomorphic change and sediment transport during a small artificial flood in a transformed post-dam delta: The Colorado River delta, United States and Mexico","Mueller, Erich R.; Schmidt, John C.; Topping, David J.; Shafroth, Patrick B.; Eliana Rodriguez-Burgueno, Jesus; Ramirez-Hernandez, Jorge; Grams, Paul E.",ECOLOGICAL ENGINEERING,2017,106,,757,775,10.1016/j.ecoleng.2016.08.009,8
"Herbicides and trace metals in urban waters in Melbourne, Australia (2011-12): concentrations and potential impact","Allinson, Mayumi; Zhang, Pei; Bui, AnhDuyen; Myers, Jackie H.; Pettigrove, Vincent; Rose, Gavin; Salzman, Scott A.; Walters, Robert; Allinson, Graeme",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2017,24,8,7274,7284,10.1007/s11356-017-8395-9,8
Analysis of intensity and spatial patterns of public use in natural treatment systems using geotagged photos from social media,"Ghermandi, Andrea",WATER RESEARCH,2016,105,,297,304,10.1016/j.watres.2016.09.009,8
The Potential Role of Urban Forests in Removing Nutrients from Stormwater,"Denman, E. C.; May, P. B.; Moore, G. M.",JOURNAL OF ENVIRONMENTAL QUALITY,2016,45,1,207,214,10.2134/jeq2015.01.0047,8
Application of BMP to urban runoff control using SUSTAIN model: Case study in an industrial area,"Gao, Jie; Wang, Rusong; Huang, Jinlou; Liu, Min",ECOLOGICAL MODELLING,2015,318,,177,183,10.1016/j.ecolmodel.2015.06.018,8
Trace metal extraction and biomass production by spontaneous vegetation in temporary Mediterranean stormwater highway retention ponds: Freshwater macroalgae (Chara spp.) vs. cattails (Typha spp.),"Laffont-Schwob, Isabelle; Triboit, Frederic; Prudent, Pascale; Soulie-Maersche, Ingeborg; Rabier, Jacques; Despreaux, Marc; Thiery, Alain",ECOLOGICAL ENGINEERING,2015,81,,173,181,10.1016/j.ecoleng.2015.04.052,8
"Stable isotopes as indicators of water and salinity sources in a southeast Australian coastal wetland: identifying relict marine water, and implications for future change","Currell, Matthew J.; Dahlhaus, Peter; Ii, Hiroyuki",HYDROGEOLOGY JOURNAL,2015,23,2,235,248,10.1007/s10040-014-1199-9,8
Stormwater quality improvement potential of an urbanised catchment using water sensitive retrofits into public parks,"Segaran, Ramesh Raja; Lewis, Megan; Ostendorf, Bertram",URBAN FORESTRY & URBAN GREENING,2014,13,2,315,324,10.1016/j.ufug.2014.01.001,8
"Regulation of diffuse pesticide pollution: Combining point source reduction and mitigation in stormwater wetland (Rouffach, France)","Destandau, Francois; Imfeld, Gwenael; Rozan, Anne",ECOLOGICAL ENGINEERING,2013,60,,299,308,10.1016/j.ecoleng.2013.07.030,8
The impact of water reuse on the hydrology and ecology of a constructed stormwater wetland and its catchment,"Jenkins, Graham A.; Greenway, Margaret; Polson, Carolyn",ECOLOGICAL ENGINEERING,2012,47,,308,315,10.1016/j.ecoleng.2012.06.006,8
Functional assessment of interconnected aquatic ecosystems in the Baiyangdian Basin-An ecological-network-analysis based approach,"Mao, Xufeng; Yang, Zhifeng",ECOLOGICAL MODELLING,2011,222,23-24,3811,3820,10.1016/j.ecolmodel.2011.10.002,8
Network Analysis and Comparative Studies on Baiyangdian and Okefenokee Wetland Systems in China and US,"Mao, X. F.; Yang, Z. F.; Chen, B.",JOURNAL OF ENVIRONMENTAL INFORMATICS,2011,18,2,46,54,10.3808/jei.201100198,8
"Cd, Cu and Zn mobility in contaminated sediments from an infiltration basin colonized by wild plants: The case of Phalaris arundinacea and Typha latifolia","Saulais, M.; Bedell, J. P.; Delolme, C.",WATER SCIENCE AND TECHNOLOGY,2011,64,1,255,262,10.2166/wst.2011.161,8
Preservation of Watershed Regime for Low-Impact Development through Detention,"Guo, James C. Y.",JOURNAL OF HYDROLOGIC ENGINEERING,2010,15,1,15,19,10.1061/(ASCE)HE.1943-5584.0000144,8
"Sediment Contamination and Faunal Communities in Two Subwatersheds of Mona Lake, Michigan","Cooper, Matthew J.; Rediske, Richard R.; Uzarski, Donald G.; Burton, Thomas M.",JOURNAL OF ENVIRONMENTAL QUALITY,2009,38,3,1255,1265,10.2134/jeq2008.0429,8
GREEN SITE DESIGN: STRATEGIES FOR STORM WATER MANAGEMENT,"Cook, Edward A.",JOURNAL OF GREEN BUILDING,2007,2,4,46,56,10.3992/jgb.2.4.46,8
The land morphology approach to flood risk mapping: An application to Portugal,"Cunha, N. S.; Magalhaes, M. R.; Domingos, T.; Abreu, M. M.; Kuepfer, C.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,193,,172,187,10.1016/j.jenvman.2017.01.077,7
Methylmercury production and accumulation in urban stormwater ponds and habitat wetlands,"Strickman, R. J.; Mitchell, C. P. J.",ENVIRONMENTAL POLLUTION,2017,221,,326,334,10.1016/j.envpol.2016.11.082,7
"Life cycle assessment of low impact development technologies combined with conventional centralized water systems for the City of Atlanta, Georgia","Jeong, Hyunju; Broesicke, Osvaldo A.; Drew, Bob; Li, Duo; Crittenden, John C.",FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,2016,10,6,,,10.1007/s11783-016-0851-0,7
Modelling the impact of agroforestry on hydrology of Mara River Basin in East Africa,"Mwangi, Hosea M.; Julich, Stefan; Patil, Sopan D.; McDonald, Morag A.; Feger, Karl-Heinz",HYDROLOGICAL PROCESSES,2016,30,18,3139,3155,10.1002/hyp.10852,7
Bacteria Removal from Stormwater Runoff Using Tree Filters: A Comparison of a Conventional and an Innovative System,"Schifman, Laura A.; Kasaraneni, Varun K.; Sullivan, Ryan K.; Oyanedel-Craver, Vinka; Boving, Thomas B.",WATER,2016,8,3,,,10.3390/w8030076,7
Impacts of multiple stressors on ecosystem function: Leaf decomposition in constructed urban wetlands,"Mackintosh, Teresa J.; Davis, Jenny A.; Thompson, Ross M.",ENVIRONMENTAL POLLUTION,2016,208,,221,232,10.1016/j.envpol.2015.08.038,7
Isotopic identification of soil and permafrost nitrate sources in an Arctic tundra ecosystem,"Heikoop, Jeffrey M.; Throckmorton, Heather M.; Newman, Brent D.; Perkins, George B.; Iversen, Colleen M.; Chowdhury, Taniya Roy; Romanovsky, Vladimir; Graham, David E.; Norby, Richard J.; Wilson, Cathy J.; Wullschleger, Stan D.",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2015,120,6,1000,1017,10.1002/2014JG002883,7
Replacing natural wetlands with stormwater management facilities: Biophysical and perceived social values,"Rooney, R. C.; Foote, L.; Krogman, N.; Pattison, J. K.; Wilson, M. J.; Bayley, S. E.",WATER RESEARCH,2015,73,,17,28,10.1016/j.watres.2014.12.035,7
Assessing the significance of wetland restoration scenarios on sediment mitigation plan,"Martinez-Martinez, Edwin; Nejadhashemi, A. Pouyan; Woznicki, Sean A.; Adhikari, Umesh; Giri, Subhasis",ECOLOGICAL ENGINEERING,2015,77,,103,113,10.1016/j.ecoleng.2014.11.031,7
"Dual-flow in karst aquifers toward a steady discharge spring (Presciano, Central Italy): influences on a subsurface groundwater dependent ecosystem and on changes related to post-earthquake hydrodynamics","Petitta, Marco; Caschetto, Mariachiara; Galassi, Diana M. P.; Aravena, Ramon",ENVIRONMENTAL EARTH SCIENCES,2015,73,6,2609,2625,10.1007/s12665-014-3440-1,7
An Analysis of Land Use Change Dynamics and Its Impacts on Hydrological Processes in the Jialing River Basin,"Zhang, Tao; Zhang, Xingnan; Xia, Dazhong; Liu, Yangyang",WATER,2014,6,12,3758,3782,10.3390/w6123758,7
"Variability of water quality, metals and phytoplankton community structure in urban stormwater ponds along a vegetation gradient","Vincent, Jennifer; Kirkwood, Andrea E.",URBAN ECOSYSTEMS,2014,17,3,839,853,10.1007/s11252-014-0356-1,7
"Trajectories of Vegetation Response to Water Management in Taylor Slough, Everglades National Park, Florida","Sah, J. P.; Ross, M. S.; Saha, S.; Minchin, P.; Sadle, J.",WETLANDS,2014,34,,S65,S79,10.1007/s13157-013-0390-4,7
The performance of plant species in removing nutrients from stormwater in biofiltration systems in Cape Town,"Milandri, S. G.; Winter, K. J.; Chimphango, S. B. M.; Armitage, N. P.; Mbui, D. N.; Jackson, G. E.; Liebau, V.",WATER SA,2012,38,5,655,662,10.4314/wsa.v38i5.2,7
RESIDENTIAL STORMWATER: METHODS FOR DECREASING RUNOFF AND INCREASING STORMWATER INFILTRATION,"Freeborn, John R.; Sample, David J.; Fox, Laurie J.",JOURNAL OF GREEN BUILDING,2012,7,2,15,30,10.3992/jgb.7.2.15,7
Uniform laminar wetland flow through submerged and floating plants,"Zhao, Mingdeng; Huai, Wenxin; Han, Jie; Xie, Zhaoding; Guo, Junke",JOURNAL OF HYDRAULIC RESEARCH,2012,50,1,52,59,10.1080/00221686.2011.641327,7
Sawgrass (Cladium jamaicense) responses as early indicators of low-level phosphorus enrichment in the Florida Everglades,"Smith, Stephen M.; Leeds, Jennifer A.; McCormick, Paul V.; Garrett, P. Brian; Darwish, Malak",WETLANDS ECOLOGY AND MANAGEMENT,2009,17,4,291,302,10.1007/s11273-008-9107-5,7
"Assessing Impacts of Hydropattern Restoration of an Overdrained Wetland on Soil Nutrients, Vegetation and Fire","Leeds, Jennifer A.; Garrett, Patrick B.; Newman, Jana M.",RESTORATION ECOLOGY,2009,17,4,460,469,10.1111/j.1526-100X.2008.00381.x,7
"Performance and design of artificial lagoons for controlling diffuse pollution in Lake Kasumigaura, Japan","Nakamura, Keigo",ECOLOGICAL ENGINEERING,2009,35,1,141,151,10.1016/j.ecoleng.2008.09.019,7
Nitrogen retention and release in Atlantic white cedar wetlands,"Zhu, WX; Ehrenfeld, JG",JOURNAL OF ENVIRONMENTAL QUALITY,2000,29,2,612,620,10.2134/jeq2000.00472425002900020032x,7
A new method and a new index for identifying socioeconomic drought events under climate change: A case study of the East River basin in China,"Shi, Haiyun; Chen, Ji; Wang, Keyi; Niu, Jun",SCIENCE OF THE TOTAL ENVIRONMENT,2018,616,,363,375,10.1016/j.scitotenv.2017.10.321,6
Hybrid system for the purification of street stormwater runoff supplying urban recreation reservoirs,"Jurczak, Tomasz; Wagner, Iwona; Kaczkowski, Zbigniew; Szklarek, Sebastian; Zalewski, Maciej",ECOLOGICAL ENGINEERING,2018,110,,67,77,10.1016/j.ecoleng.2017.09.019,6
Tracking the fate of nitrate through pulse-flow wetlands: A mesocosm scale N-15 enrichment tracer study,"Messer, Tiffany L.; Burchell, Michael R.; Bohlke, J. K.; Tobias, Craig R.",ECOLOGICAL ENGINEERING,2017,106,,597,608,10.1016/j.ecoleng.2017.06.016,6
Bifenthrin Causes Toxicity in Urban Stormwater Wetlands: Field and Laboratory Assessment Using Austrochiltonia (Amphipoda),"Jeppe, Katherine J.; Kellar, Claudette R.; Marshall, Stephen; Colombo, Valentina; Sinclair, Georgia M.; Pettigrove, Vincent",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2017,51,12,7254,7262,10.1021/acs.est.7b01472,6
Temporal dynamics of stormwater nutrient attenuation of an urban constructed wetland experiencing summer low flows and macrophyte senescence,"Adyel, Tanveer M.; Hipsey, Matthew R.; Oldham, Carolyn E.",ECOLOGICAL ENGINEERING,2017,102,,641,661,10.1016/j.ecoleng.2016.12.026,6
Stormwater nutrient attenuation in a constructed wetland with alternating surface and subsurface flow pathways: Event to annual dynamics,"Adyel, Tanveer M.; Oldham, Carolyn E.; Hipsey, Matthew R.",WATER RESEARCH,2016,107,,66,82,10.1016/j.watres.2016.10.005,6
"A datamining approach to identifying spatial patterns of phosphorus forms in the Stormwater Treatment Areas in the Everglades, US","Corstanje, R.; Grafius, D. R.; Zawadzka, J.; Barradas, J. Moreira; Vince, G.; Ivanoff, D.; Pietro, K.",ECOLOGICAL ENGINEERING,2016,97,,567,576,10.1016/j.ecoleng.2016.10.003,6
Improving Evapotranspiration Mechanisms in the US Environmental Protection Agency's Storm Water Management Model,"Feng, Youcan; Burian, Steven",JOURNAL OF HYDROLOGIC ENGINEERING,2016,21,10,,,10.1061/(ASCE)HE.1943-5584.0001419,6
Driving forces of effluent nutrient variability in field scale bioretention,"Manka, B. N.; Hathaway, J. M.; Tirpak, R. A.; He, Q.; Hunt, W. F.",ECOLOGICAL ENGINEERING,2016,94,,622,628,10.1016/j.ecoleng.2016.06.024,6
Impact of chloride on denitrification potential in roadside wetlands,"Lancaster, Nakita A.; Bushey, Joseph T.; Tobias, Craig R.; Song, Bongkeun; Vadas, Timothy M.",ENVIRONMENTAL POLLUTION,2016,212,,216,223,10.1016/j.envpol.2016.01.068,6
The effects of climate change and extreme wildfire events on runoff erosion over a mountain watershed,"Gould, Gregory K.; Liu, Mingliang; Barber, Michael E.; Cherkauer, Keith A.; Robichaud, Peter R.; Adam, Jennifer C.",JOURNAL OF HYDROLOGY,2016,536,,74,91,10.1016/j.jhydrol.2016.02.025,6
