Taxa,Species,Rep,Estimate,stat,value
plants,Antirrhinum spp.,4,Floral Abundance,se,3.6
plants,Aquilegia spp.,3,Floral Abundance,se,34.2
plants,Arctium lappa,2,Floral Abundance,se,7.4
plants,Argyranthemum frustescens,2,Floral Abundance,se,1.1
plants,Astilbe spp.,1,Floral Abundance,se,0
plants,Barbarea verna,1,Floral Abundance,se,0
plants,Begonia spp.,6,Floral Abundance,se,101.8
plants,Borago officinalis,1,Floral Abundance,se,0
plants,Brassica spp.,3,Floral Abundance,se,18.4
plants,Brassica oleracea,1,Floral Abundance,se,0
plants,Buddleja davidii,3,Floral Abundance,se,9.4
plants,Calibrachoa spp.,3,Floral Abundance,se,27.6
plants,Calystegia spp.,1,Floral Abundance,se,0
plants,Campanula spp.,3,Floral Abundance,se,5
plants,Capsicum spp.,3,Floral Abundance,se,2.9
plants,Celosia spp.,3,Floral Abundance,se,11.2
plants,Cerastium vulgatum,1,Floral Abundance,se,0
plants,Chenopodium album,1,Floral Abundance,se,0
plants,Clematis spp.,7,Floral Abundance,se,17.4
plants,Cleome hassleriana,1,Floral Abundance,se,0
plants,Commelina communis,13,Floral Abundance,se,2.7
plants,Convolvulus spp.,7,Floral Abundance,se,14.5
plants,Coreopsis spp.,8,Floral Abundance,se,28.8
plants,Coriandrum sativum,4,Floral Abundance,se,29.5
plants,Corydalis lutea,1,Floral Abundance,se,0
plants,Cosmos bipinnatus,1,Floral Abundance,se,0
plants,Cucumis sativus,8,Floral Abundance,se,43.1
plants,Cucurbita pepo,6,Floral Abundance,se,7.9
plants,Cyclamen persicum,2,Floral Abundance,se,7.1
plants,Dahlia spp.,2,Floral Abundance,se,2.8
plants,Daucus carota,4,Floral Abundance,se,25.3
plants,Dianthus spp.,6,Floral Abundance,se,62.4
plants,Digitalis spp.,1,Floral Abundance,se,0
plants,Dodecatheon spp.,1,Floral Abundance,se,0
plants,Echinacea purpurea,6,Floral Abundance,se,36.5
plants,Erigeron strigosus,6,Floral Abundance,se,34.3
plants,Fragaria spp.,3,Floral Abundance,se,2.3
plants,Galinsoga ciliate,6,Floral Abundance,se,311.9
plants,Geranium maculatum,2,Floral Abundance,se,6.4
plants,Gladiolus spp.,3,Floral Abundance,se,1.9
plants,Glechoma hederacea,1,Floral Abundance,se,0
plants,Helianthus annuus,3,Floral Abundance,se,2.4
plants,Hemerocallis spp.,4,Floral Abundance,se,4.3
plants,Heuchera spp.,2,Floral Abundance,se,18.7
plants,Hibiscus syriacus,6,Floral Abundance,se,19.4
plants,Hosta spp.,13,Floral Abundance,se,11
plants,Hoya carnosa,1,Floral Abundance,se,0
plants,Hydrangea spp.,10,Floral Abundance,se,45.8
plants,Hylotelephium,1,Floral Abundance,se,0
plants,Impatiens spp.,15,Floral Abundance,se,32.3
plants,Ipomoea purpurea,7,Floral Abundance,se,9.5
plants,Iris spp.,1,Floral Abundance,se,0
plants,Jasminum spp.,1,Floral Abundance,se,0
plants,Lablab purpureus,2,Floral Abundance,se,3.5
plants,Lactuca sativa,1,Floral Abundance,se,0
plants,Lamium amplexicaule,2,Floral Abundance,se,7.1
plants,Lamium maculatum,1,Floral Abundance,se,0
plants,Lantana spp.,2,Floral Abundance,se,0.7
plants,Lathyrus latifolius,3,Floral Abundance,se,43.5
plants,Lavandula spp.,4,Floral Abundance,se,84.6
plants,Lepidium spp.,11,Floral Abundance,se,19.9
plants,Leucanthemum spp.,5,Floral Abundance,se,23.1
plants,Liatris spicata,4,Floral Abundance,se,1.7
plants,Ligustrum spp.,1,Floral Abundance,se,0
plants,Lilium spp.,13,Floral Abundance,se,6.6
plants,Linum usitatissimum,1,Floral Abundance,se,0
plants,Lobelia erinus,5,Floral Abundance,se,92.7
plants,Lonicera spp.,1,Floral Abundance,se,0
plants,Lychnis coronaria,1,Floral Abundance,se,0
plants,Malus spp.,1,Floral Abundance,se,0
plants,Malva neglecta,1,Floral Abundance,se,0
plants,Malva sylvestris,1,Floral Abundance,se,0
plants,Melissa officinalis,1,Floral Abundance,se,0
plants,Mentha spp.,11,Floral Abundance,se,10.3
plants,Monarda spp.,4,Floral Abundance,se,23.2
plants,Myosotis spp.,3,Floral Abundance,se,2.6
plants,Nepeta cataria,3,Floral Abundance,se,55.3
plants,Ocimum basilicum,5,Floral Abundance,se,1.5
plants,Origanum spp.,2,Floral Abundance,se,29.3
plants,Oxalis spp.,23,Floral Abundance,se,9.3
plants,Pelargonium spp.,14,Floral Abundance,se,7.7
plants,Penstemon spp.,1,Floral Abundance,se,0
plants,Perovskia atriplicifolia,2,Floral Abundance,se,569.9
plants,Petroselinum crispum,1,Floral Abundance,se,0
plants,Petunia spp.,11,Floral Abundance,se,64.2
plants,Phlox spp.,9,Floral Abundance,se,23.3
plants,Physalis spp.,1,Floral Abundance,se,0
plants,Physalis philadelphica,1,Floral Abundance,se,0
plants,Phytolacca spp.,1,Floral Abundance,se,0
plants,Plantago lanceolata,3,Floral Abundance,se,5.3
plants,Plantago major,9,Floral Abundance,se,24.2
plants,Platycodon grandiflorus,2,Floral Abundance,se,7.4
plants,Polygonum spp.,10,Floral Abundance,se,9.9
plants,Portulaca spp.,4,Floral Abundance,se,3.2
plants,Ranunculus spp.,2,Floral Abundance,se,19.4
plants,Ratibida spp.,1,Floral Abundance,se,0
plants,Rhododendron spp.,1,Floral Abundance,se,0
plants,Rondeletia leucophylla,1,Floral Abundance,se,0
plants,Rosa spp.,23,Floral Abundance,se,55
plants,Rubus spp.,1,Floral Abundance,se,0
plants,Rudbeckia spp.,8,Floral Abundance,se,84.4
plants,Salvia spp.,7,Floral Abundance,se,54.8
plants,Salvia azurea,3,Floral Abundance,se,22.5
plants,Salvia splendens,4,Floral Abundance,se,21.1
plants,Saponaria officinalis,2,Floral Abundance,se,11
plants,Scabiosa japonica,2,Floral Abundance,se,15.9
plants,Sedum acre,4,Floral Abundance,se,74.4
plants,Silene spp.,1,Floral Abundance,se,0
plants,Solanum dulcamara,12,Floral Abundance,se,3.5
plants,Solanum lycopersicum,15,Floral Abundance,se,10.8
plants,Solanum melongena,1,Floral Abundance,se,0
plants,Solanum ptycanthum,4,Floral Abundance,se,14.4
plants,Solanum tuberosum,1,Floral Abundance,se,0
plants,Sonchus oleraceus,15,Floral Abundance,se,1.8
plants,Spirea spp.,3,Floral Abundance,se,24.1
plants,Stachys spp.,1,Floral Abundance,se,0
plants,Stellaria nemorum,2,Floral Abundance,se,0
plants,Stokesia laevis,1,Floral Abundance,se,0
plants,Sutera cordata,1,Floral Abundance,se,0
plants,Syringa spp.,2,Floral Abundance,se,48.1
plants,Tagetes spp.,12,Floral Abundance,se,15.7
plants,Tanacetum parthenium,1,Floral Abundance,se,0
plants,Taraxacum officinale,14,Floral Abundance,se,1.4
plants,Thymus vulgaris,7,Floral Abundance,se,90.6
plants,Torenia fournieri,1,Floral Abundance,se,0
plants,Tradescantia spp.,4,Floral Abundance,se,43.3
plants,Trifolium pratense,3,Floral Abundance,se,0.3
plants,Trifolium repens,17,Floral Abundance,se,200.7
plants,Triodanis perfoliata,2,Floral Abundance,se,0.4
plants,Unidentified,15,Floral Abundance,se,32.2
plants,Verbascum thapsus,1,Floral Abundance,se,0
plants,Verbena spp.,6,Floral Abundance,se,8.1
plants,Veronica spp.,1,Floral Abundance,se,0
plants,Veronicastrum virginicum,1,Floral Abundance,se,0
plants,Viburnum spp.,4,Floral Abundance,se,25.3
plants,Vinca minor,5,Floral Abundance,se,24.3
plants,Viola spp.,5,Floral Abundance,se,116.7
plants,Weigela spp.,3,Floral Abundance,se,47.1
plants,Zantedeschia aethiopica,3,Floral Abundance,se,1.3
plants,Zinnia elegans,2,Floral Abundance,se,0.7
